Number;StructureName;StructureType;Condition of Bridge;TotalWidth;TotalLength;ConstructionYear;NumberOfSpan;Zone;Circle;Division;Sub-Division;RoadNo;StructureLRPName;ReferenceLRPNo;LocationLRPOffset;LocationChainage;LatitudeDegree;LatitudeMinute;LatitudeSecond;LongitudeDegree;LongitudeMinute;LongitudeSecond;BCS1TotalScore
2714;;RCC Girder Bridge;B;4,7;7,25;1988;1;Khulna;Jessore;Kushtia;Kushtia;Z7465;LRP011a;LRP010;1278;11,278;23;50;1,2;88;56;25,6;1
2715;;RCC Girder Bridge;B;4,5;10,8;1968;2;Khulna;Jessore;Kushtia;Kushtia;Z7465;LRP013a;LRP010;3132;13,132;23;49;34,2;88;57;23,5;1
2716;;RCC Girder Bridge;C;5;10,75;1968;1;Khulna;Jessore;Kushtia;Kushtia;Z7465;LRP014a;LRP010;4195;14,195;23;49;17,5;88;57;56,6;90
2717;;RCC Girder Bridge;C;5;6,3;1968;1;Khulna;Jessore;Kushtia;Kushtia;Z7465;LRP014d;LRP010;4611;14,611;23;49;11,5;88;58;10;60
2718;Kuudipara Bridge;RCC Girder Bridge;B;4,4;6,2;1997;1;Khulna;Jessore;Kushtia;Kushtia;Z7465;LRP015a;LRP015;17;15,017;23;49;4,1;88;58;21;1
2719;Nalpatua Bridge;RCC Girder Bridge;C;4,3;8,8;1994;1;Khulna;Jessore;Jhenaidah;Jhenaidah;Z7488;LRP001a;LRP001;750;1,74;23;17;30;88;51;30;91
2720;Verakhali Bridge;RCC Girder Bridge;B;4,38;6,89;1996;1;Khulna;Jessore;Jhenaidah;Jhenaidah;Z7489;LRP007a;LRP005;2005;6,015;23;26;2,8;89;3;29,8;1
2721;Bagherpara Bridge;RCC Girder Bridge;B;10,36;18,73;2012;1;Khulna;Jessore;Jessore;Jessore-1;Z7501;LRP004a;LRP004;146;4,146;23;13;16;89;20;49,7;1
2722;;RCC Girder Bridge;C;3,57;36,35;1968;3;Khulna;Jessore;Narail;Narail;Z7502;LRP005a;LRP005;176;5,176;23;9;2,2;89;32;18;90
2723;Mathabhanga Bridge;RCC Girder Bridge;C;4,35;12,8;1982;2;Khulna;Jessore;Narail;Narail;Z7502;LRP007a;LRP007;63;7,068;23;8;7,2;89;32;43,1;91
2724;Bangram Bridge;RCC Girder Bridge;C;6,6;20;1961;3;Khulna;Jessore;Narail;Narail;Z7502;LRP013a;LRP013;20;13,037;23;5;10,5;89;33;30,4;620
2725;Katchuri Bazar Bridge;Baily with Steel Deck;A;4,17;27,4;1988;1;Khulna;Jessore;Narail;Narail;Z7502;LRP016b;LRP016;795;16,812;23;3;44,6;89;34;29,7;0
2726;Hawai khali Bridge;RCC Girder Bridge;C;7,9;26,1;1976;3;Khulna;Jessore;Narail;Narail;Z7503;LRP005a;LRP005;136;5,213;23;10;48;89;33;31,4;30
2727;Peroli Bridge.;RCC Girder Bridge;C;4,7;9,58;1991;1;Khulna;Jessore;Narail;Narail;Z7504;LRP003a;LRP003;240;3,14;23;11;15;89;27;2;61
2728;Purula Bridge;RCC Girder Bridge;C;4,7;12,73;1995;1;Khulna;Jessore;Narail;Narail;Z7506;LRP003b;LRP003;756;3,681;23;12;7,5;89;37;20,7;60
2729;Bakosh Pol Bridge;RCC Girder Bridge;A;4,25;13;1992;1;Khulna;Jessore;Jessore;Jessore-1;Z7551;LRP004a;LRPS;4326;4,326;23;2;36,5;89;11;48,5;0
2730;Kopotakhya bridge;RCC Girder Bridge;B;5,25;68,38;1993;3;Khulna;Jessore;Jessore;Jessore-1;Z7552;LRP012b;LRP012;531;11,335;22;52;58,4;89;7;1,3;30
2731;Betraboti bridge;RCC Girder Bridge;B;4,8;33,78;1989;3;Khulna;Khulna;Satkhira;Satkhira-1;Z7552;LRP021a;LRP021;614;19,557;22;51;36,2;89;2;36,7;30
2732;Baishar Mor Bridge;RCC Girder Bridge;B;4,77;12,73;1993;1;Khulna;Jessore;Jessore;Jessore-1;Z7553;LRP003a;LRP002;1086;2,391;22;54;13;89;11;58;30
2733;Betgram Bridge;RCC Girder Bridge;B;4,3;14,9;1997;1;Khulna;Jessore;Jessore;Jessore-1;Z7553;LRP032a;LRP032;151;30,151;22;49;56;89;16;5;31
2734;Bakal bridge;RCC Girder Bridge;B;8,8;48,8;1972;3;Khulna;Khulna;Satkhira;Satkhira-2;Z7602;LRP005a;LRP005;30;4,032;22;41;26;89;2;40,7;30
2735;Kalia bridge;RCC Girder Bridge;C;8,4;56,8;1968;3;Khulna;Khulna;Satkhira;Satkhira-2;Z7602;LRP013b;LRP013;70;12,072;22;38;35,3;88;59;23;530
2736;Paruliar bridge;RCC Girder Bridge;B;9,2;28;1974;3;Khulna;Khulna;Satkhira;Satkhira-2;Z7602;LRP018b;LRP018;571;17,57;22;35;49,7;89;0;6,5;31
2737;Satpur bridge;PC Girder Bridge;A;9,5;40;1988;1;Khulna;Khulna;Satkhira;Satkhira-2;Z7602;LRP033b;LRP033;857;32,875;22;28;18,2;89;1;45,6;0
2738;K. B. Ahsanullah bridge;PC Girder Bridge;A;9,55;162,3;2006;5;Khulna;Khulna;Satkhira;Satkhira-2;Z7602;LRP035a;LRP034;1439;34,417;22;27;30,8;89;2;0,2;0
2739;Paka bridge;PC Girder Bridge;A;10,3;25,2;2011;1;Khulna;Khulna;Satkhira;Satkhira-1;Z7603;LRPSa;LRPS;194;0,194;22;42;45;89;4;22;0
2740;Chapra-Asasuni bridge;Truss with Steel Deck;C;4,25;240,87;1989;5;Khulna;Khulna;Satkhira;Satkhira-1;Z7603;LRP023a;LRP022;1476;23,491;22;33;3;89;10;23;500
2741;Kachari bridge;RCC Girder Bridge;C;4,35;12,9;1988;1;Khulna;Khulna;Satkhira;Satkhira-2;Z7610;LRP032a;LRP032;86;32,317;22;20;39;89;10;38;530
2742;Chunar bridge;RCC Girder Bridge;C;4,4;13;1982;1;Khulna;Khulna;Satkhira;Satkhira-2;Z7610;LRP036a;LRP036;790;36,896;22;20;7;89;8;2;1560
2743;Islamkati bridge;RCC Girder Bridge;C;3,9;12,65;1988;1;Khulna;Khulna;Satkhira;Satkhira-1;Z7613;LRP007a;LRP007;160;6,03;22;45;4;89;12;20;560
2744;Khatali bridge;RCC Girder Bridge;C;4,3;13;1996;1;Khulna;Khulna;Khulna;Khulna-1;Z7615;LRP006a;LRP006;66;4,706;22;36;31,2;89;28;32,3;1060
2745;Manik khali bridge;Truss with Steel Deck;C;3,95;19;1987;1;Khulna;Khulna;Satkhira;Satkhira-2;Z7617;LRP026a;LRP026;449;25,84;22;15;8;89;5;32;500
2746;Gulishakhali bridge;RCC Girder Bridge;C;4,3;10,5;1996;1;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7701;LRP003a;LRPS;3230;3,23;22;24;10;89;47;4;60
2747;;RCC Girder Bridge;B;4,7;7;1992;1;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7701;LRP003c;LRPS;3520;3,52;22;24;10;89;46;55;31
2748;Gazir bridge;RCC Girder Bridge;C;4,5;7,5;1975;1;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7701;LRP017b;LRPS;17060;17,06;22;27;18;89;41;31;620
2749;;RCC Girder Bridge;B;4,3;20,5;1998;1;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7701;LRP018a;LRPS;18700;18,7;22;27;49;89;40;55;30
2750;;RCC Girder Bridge;A;4,3;17,85;1998;1;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7701;LRP021a;LRP020;1240;21,24;22;28;10;89;39;29;0
2751;Putisnan bridge;RCC Girder Bridge;C;4,3;13;1974;1;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7701;LRP022a;LRP020;2930;22,93;22;28;19;89;38;33;590
2752;;RCC Girder Bridge;B;4,2;6,4;1999;1;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7701;LRP024a;LRP020;4530;24,53;22;28;33;89;37;39;31
2753;Kathaltola Bridge;PC Girder Bridge;C;10,25;31,3;2012;1;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7702;LRP002a;LRP001;1602;1,614;22;35;30;89;50;56;30
2754;Baraitola 3rd Bridge;RCC Girder Bridge;A;8,15;30;1994;2;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7702;LRP002b;LRP001;1626;1,638;22;35;29;89;50;56;0
2755;Barikhali Steel Bridge;Truss with Steel Deck;A;4,44;49,5;1994;1;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7702;LRP019a;LRP019;297;18,299;22;27;17;89;51;8;0
2756;;RCC Girder Bridge;A;10,27;21,85;2012;1;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7702;LRP027c;LRP027;869;26,859;22;23;32;89;48;50;0
2757;;PC Girder Bridge;A;10,3;29,7;2012;1;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7702;LRP034c;LRP034;764;33,742;22;20;3;89;48;39;0
2758;;Truss with Steel Deck;C;4,46;46,45;1998;1;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7702;LRP037a;LRP037;505;36,48;22;19;48;89;50;10;560
2759;Rayandha;PC Girder Bridge;A;9,55;94,05;2012;3;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7702;LRP039a;LRP039;528;38,503;22;18;59;89;50;55;0
2760;Tafalbari Bridge;RCC Girder Bridge;A;4,93;80,45;2004;5;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7702;LRP046a;LRP046;248;45,248;22;15;52;89;49;47;0
2761;South Taffalbari bridge;RCC Girder Bridge;A;5,1;36,14;2010;3;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7702;LRP048a;LRP046;2274;47,274;22;15;20;89;49;42;0
2762;;Truss with Steel Deck;C;9,32;31,4;1998;1;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7703;LRP005a;LRP005;500;5,502;22;38;37;89;52;44;62
2763;;Baily with Steel Deck;C;4,13;6,3;1995;1;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7703;LRP007a;LRP007;101;7,151;22;39;14;89;53;12;30
2764;C.O   Office more Bridge;RCC Girder Bridge;C;5,24;22,85;1993;3;Barisal;Barisal;Pirojpur;Pirojpur;Z7704;LRPSa;LRPS;16;0,016;22;34;46;89;58;48;30
2765;Adhajhuri Bridge;Baily with Steel Deck;C;4,13;33,58;1988;1;Barisal;Barisal;Pirojpur;Pirojpur;Z7704;LRP017a;LRP017;135;15,635;22;41;32;89;57;42;30
2766;Nazirpur Bridge;RCC Girder Bridge;A;9,5;109,6;2009;3;Barisal;Barisal;Pirojpur;Pirojpur;Z7704;LRP018e;LRP018;859;17,371;22;42;25;89;58;2;0
2767;Chaltobari Bridge;Baily with Steel Deck;C;4,11;68,87;1988;3;Barisal;Barisal;Pirojpur;Pirojpur;Z7704;LRP025a;LRP025;69;23,575;22;45;39;89;57;20;30
2768;Dakatia Bridge;Truss with Steel Deck;A;3,72;10,35;1990;1;Barisal;Barisal;Pirojpur;Pirojpur;Z7704;LRP028a;LRP028;164;26,716;22;47;19;89;57;15;0
2769;Baghajora steel Bridge;Truss with Steel Deck;A;4,25;31,2;1979;1;Barisal;Barisal;Pirojpur;Pirojpur;Z7704;LRP030a;LRP030;28;28,563;22;48;17;89;56;58;0
2770;Souladhoho Bazar steel Bridge;RCC Girder Bridge;C;7,6;20,57;2000;1;Khulna;Khulna;Bagerhat;Bagerhat-2;Z7704;LRP034a;LRP034;879;33,576;22;50;39;89;56;20;30
2771;;RCC Girder Bridge;A;7,55;21,6;2000;1;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7708;LRP005b;LRP004;1304;5,331;22;42;12,6;89;48;6,4;0
2772;;Truss with Steel Deck;C;3,94;62,5;1996;2;Khulna;Khulna;Bagerhat;Bagerhat-1;Z7708;LRP010b;LRP010;553;10,564;22;42;49,9;89;50;41,4;500
2773;Muktar kashi bridge;Truss with RCC Slab;C;8,33;15,3;2002;1;Barisal;Barisal;Pirojpur;Pirojpur;Z7709;LRP003c;LRP003;970;3,89;22;35;5;89;59;56;30
2774;Ranipur Bridge;Truss with RCC Slab;A;8,32;15,24;2002;1;Barisal;Barisal;Pirojpur;Pirojpur;Z7709;LRP004a;LRP003;1680;4,6;22;35;18;90;0;17;0
2775;College Bridge;PC Girder Bridge;A;10,3;31,27;2013;1;Barisal;Barisal;Pirojpur;Pirojpur;Z7711;LRP003a;LRP003;702;3,544;22;28;47;89;57;19;0
2776;Fakirhat Steel Bridge;Baily with Steel Deck;C;4,05;24,52;1998;1;Barisal;Barisal;Pirojpur;Pirojpur;Z7711;LRP007a;LRP006;1415;7,257;22;27;2;89;56;32;30
2777;Balipara Bazar Bridge;Truss with Steel Deck;B;3,74;29,87;2005;1;Barisal;Barisal;Pirojpur;Pirojpur;Z7711;LRP009a;LRP008;1959;9,822;22;25;46;89;56;2;30
2778;C.O office more Bridge;RCC Girder Bridge;C;5,24;22,85;1993;3;Barisal;Barisal;Pirojpur;Pirojpur;Z7715;LRPSa;LRPS;20;0,02;22;34;46;89;58;48;30
2779;;PC Girder Bridge;B;5,5;102,1;1997;3;Khulna;Khulna;Bagerhat;Bagerhat-2;Z7717;LRP005a;LRP005;750;4,696;22;37;24;89;45;52;1
2780;;RCC Girder Bridge;B;4,87;42,04;1999;3;Khulna;Khulna;Bagerhat;Bagerhat-2;Z7717;LRP008a;LRP008;593;7,494;22;36;5;89;45;34;1
2781;Hajir Bridge;RCC Girder Bridge;C;5,8;42,12;1999;3;Khulna;Khulna;Bagerhat;Bagerhat-2;Z7717;LRP011b;LRP011;833;10,688;22;35;52;89;43;51;30
2782;Bishna Bridge;PC Girder Bridge;A;5,15;156,22;1999;5;Khulna;Khulna;Bagerhat;Bagerhat-2;Z7717;LRP013b;LRP013;741;12,577;22;35;36;89;42;51;0
2783;Daudkhali Bridge;PC Girder Bridge;C;5,12;240,11;1999;7;Khulna;Khulna;Bagerhat;Bagerhat-2;Z7717;LRP019a;LRP019;814;19,462;22;34;34;89;39;40;30
2784;Boro Bridge;RCC Girder Bridge;A;4,89;36,04;1998;3;Khulna;Khulna;Bagerhat;Bagerhat-2;Z7717;LRP027a;LRP025;2133;27,133;22;30;58;89;39;6;0
2785;Chandpai bridge;PC Girder Bridge;B;4,77;60,04;1998;3;Khulna;Khulna;Bagerhat;Bagerhat-2;Z7717;LRP030a;LRP030;586;30,586;22;29;15;89;38;28;1
2786;Kumarkhali bridge;RCC Girder Bridge;A;4,95;36,13;1998;3;Khulna;Khulna;Bagerhat;Bagerhat-2;Z7717;LRP033b;LRP030;3695;33,695;22;28;55;89;36;48;0
2787;;RCC Girder Bridge;C;6,5;9,86;1973;1;Khulna;Khulna;Bagerhat;Bagerhat-2;Z7718;LRP001b;LRP001;910;1,53;22;34;18;89;50;13;120
2788;;Baily with Steel Deck;C;4;21,5;NULL;1;Khulna;Khulna;Bagerhat;Bagerhat-2;Z7718;LRP001d;LRP001;930;1,55;22;34;17;89;50;13;500
2789;Mithakali bridge;RCC Girder Bridge;C;4,8;19,9;1995;1;Khulna;Khulna;Bagerhat;Bagerhat-2;Z7718;LRP038a;LRP002;37350;38,93;22;29;10;89;38;32;530
2790;Varalia Bridge;RCC Girder Bridge;D;3,9;7,3;1980;1;Dhaka;Dhaka;Dhaka;Dhaka, Sub-division - 1;Z8002;LRP003a;LRP002;1391;3,391;23;42;57,4;90;21;15,3;650
2791;Puraton Varalia Bridge;RCC Girder Bridge;C;3,9;36;1980;5;Dhaka;Dhaka;Dhaka;Dhaka, Sub-division - 1;Z8002;LRP003b;LRP002;1917;3,917;23;43;8,5;90;21;1,7;180
2792;Bamonshur Bridge;RCC Girder Bridge;C;3,95;16,4;1985;2;Dhaka;Dhaka;Dhaka;Dhaka, Sub-division - 1;Z8002;LRP004a;LRP004;244;4,24;23;43;14,6;90;20;51,5;60
2793;Monhoria Bridge;RCC Girder Bridge;C;6,3;24,3;1980;3;Dhaka;Dhaka;Dhaka;Dhaka, Sub-division - 1;Z8002;LRP007a;LRP007;117;7,155;23;43;52,3;90;19;25,3;650
2794;Bhawal Bridge;RCC Girder Bridge;A;3,9;36,5;1980;5;Dhaka;Dhaka;Dhaka;Dhaka, Sub-division - 1;Z8002;LRP008a;LRP008;155;8,193;23;43;53,3;90;18;51,5;0
2795;Bhawal Manohar Bridge;RCC Girder Bridge;C;6,2;21;1983;3;Dhaka;Dhaka;Dhaka;Dhaka, Sub-division - 1;Z8002;LRP008c;LRP008;551;8,589;23;43;53,8;90;18;38;120
2796;Dhalikandi Bridge;Truss with Steel Deck;A;4,1;189;2003;7;Dhaka;Dhaka;Dhaka;Dhaka, Sub-division - 1;Z8002;LRP014a;LRP014;671;14,61;23;44;11,3;90;15;26,5;0
2797;Hashara Bridge;Truss with Steel Deck;A;4,3;43,3;1994;1;Dhaka;Dhaka;Munshiganj;Keraniganj;Z8003;LRPSa;LRPS;539;0,539;23;35;22,2;90;18;26,8;0
2798;Chakar Bari Bridge;PC Girder Bridge;A;4,4;19;1996;1;Dhaka;Dhaka;Munshiganj;Keraniganj;Z8003;LRP002a;LRP002;168;2,153;23;35;35,7;90;17;37,9;0
2799;Alampur Bridge;RCC Girder Bridge;A;5,1;90,12;1997;5;Dhaka;Dhaka;Munshiganj;Keraniganj;Z8003;LRP004a;LRP004;753;4,706;23;36;10,5;90;16;37,5;0
2800;Alampur Bridge;Baily with Steel Deck;C;5;24,4;1994;1;Dhaka;Dhaka;Munshiganj;Keraniganj;Z8003;LRP005a;LRP004;1378;5,331;23;36;16,9;90;16;19,1;531
2801;Kanda para Bridge;PC Girder Bridge;B;10,25;73,01;2013;3;Dhaka;Dhaka;Munshiganj;Keraniganj;Z8003;LRP005c;LRP004;1638;5,591;23;36;17,4;90;16;10,6;1
2802;Chatalpur Bridge;Baily with Steel Deck;C;4,3;19,3;1994;1;Dhaka;Dhaka;Munshiganj;Keraniganj;Z8003;LRP005c;LRP004;1638;5,591;23;36;17,4;90;16;10,6;560
2803;Baraikhali Bazar Bridge-1;RCC Girder Bridge;C;4,3;9,7;1983;1;Dhaka;Dhaka;Munshiganj;Keraniganj;Z8003;LRP007a;LRP007;794;7,843;23;36;37,7;90;15;15,7;60
2804;Baraikhali Bazar Bridge-2;RCC Girder Bridge;B;4,3;27,26;1991;3;Dhaka;Dhaka;Munshiganj;Keraniganj;Z8003;LRP008a;LRP008;6;8,011;23;36;39,6;90;15;15,8;30
2805;Baraikhali Bridge;Truss with Steel Deck;A;4,2;36,55;1993;1;Dhaka;Dhaka;Munshiganj;Keraniganj;Z8003;LRP008c;LRP008;127;8,132;23;36;42,6;90;14;59,4;0
2806;Sonbari Bridge;Baily with Steel Deck;C;5;70,4;1999;2;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP001a;LRP001;256;0,269;23;32;34,2;90;17;56;560
2807;Atpara Bridge;Baily with Steel Deck;C;5;40,7;1986;2;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP003a;LRP003;988;3,031;23;33;3,6;90;19;28,2;531
2808;Baletoli Bridge;Baily with Steel Deck;C;4,2;40;1999;3;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP004a;LRP004;658;3,739;23;32;59,3;90;19;51,5;560
2809;Singpara Bridge-1;RCC Girder Bridge;A;4,3;13;1999;1;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP005a;LRP005;373;4,362;23;32;58,8;90;20;12,6;0
2810;Singpara Bridge-1;RCC Girder Bridge;A;4,1;18,4;1999;1;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP005c;LRP005;614;4,603;23;33;2,1;90;20;21;0
2811;Koola Bridge;Baily with Steel Deck;C;4;15,2;2000;1;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP006a;LRP005;1633;5,622;23;33;10,4;90;20;53,2;530
2812;Satiantoli Bridge;Baily with Steel Deck;A;4,1;24,6;2001;1;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP006c;LRP005;1965;5,954;23;33;11;90;21;4,2;0
2813;Gobindapur Bridge-1;Baily with Steel Deck;A;4;24,4;2008;1;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP006a;LRP006;312;6,312;23;33;1,5;90;25;45,8;0
2814;Malibagan Bridge;RCC Girder Bridge;C;3,85;23,76;1985;3;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP007b;LRP007;875;6,931;23;33;5;90;21;38;60
2815;Kusumpur Bridge;Truss with Steel Deck;C;4;22,2;1999;1;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP008a;LRP008;738;7,769;23;32;56,2;90;22;5,4;61
2816;Kusumpur Bridge-1;RCC Girder Bridge;A;4,3;15,2;1998;1;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP009a;LRP009;251;8,461;23;33;0,5;90;22;28,9;0
2817;Chaltatola Bridge;RCC Girder Bridge;A;4,4;33,11;1998;3;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP010a;LRP010;25;9,065;23;33;4,2;90;22;49,4;0
2818;Issapura Bridge-1;RCC Girder Bridge;A;5,2;33,06;1999;3;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP010c;LRP010;520;9,56;23;33;2,5;90;23;7;0
2819;Mustafaganj Madrasa Bridge;Baily with Steel Deck;C;4,1;15,3;2001;1;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP011a;LRP011;793;11,035;23;33;7,8;90;23;57,1;530
2820;Kakaldi Bridge;Baily with Steel Deck;A;4,1;21,4;1984;1;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP012a;LRP012;613;11,89;23;33;9,6;90;24;26,7;0
2821;Purbo Kakaldi Bridge;Baily with Steel Deck;C;4,1;18,3;1984;1;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP013a;LRP012;1425;12,702;23;33;12,5;90;24;54,8;530
2822;Malkhanagar Bridge;RCC Girder Bridge;C;6,3;28,66;1978;3;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP014a;LRP014;85;13,44;23;33;7,7;90;25;21,7;90
2823;Kazirbagh Bridge;PC Girder Bridge;A;9,4;30,5;2010;1;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP014d;LRP014;643;13,998;23;33;1,1;90;25;38,3;0
2824;Baraipara Bridge;Baily with Steel Deck;A;4,1;21,7;1985;1;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP015c;LRP015;208;14,561;23;32;51,9;90;25;54,8;0
2825;Kandarpara Bridge;Truss with Steel Deck;B;4,2;92,3;1999;3;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP015e;LRP015;393;14,746;23;32;48,1;90;26;0,4;1
2826;Randhunibari Bridge;RCC Girder Bridge;C;3,8;27,81;1980;3;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP016a;LRP016;771;16,113;23;32;32,4;90;26;43,5;120
2827;Paikpara Bridge;RCC Girder Bridge;C;10,25;22;2007;1;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP018c;LRP018;916;18,264;23;32;31,4;90;27;58,3;30
2828;Paikpara Bridge-1;Baily with Steel Deck;C;4;24,5;1985;1;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP019a;LRP019;47;18,399;23;32;32,5;90;28;3,2;31
2829;Paikpara Bridge-2;Baily with Steel Deck;C;4,95;36,6;1990;1;Dhaka;Dhaka;Munshiganj;Sreenagar;Z8004;LRP019c;LRP019;938;19,29;23;32;38,2;90;28;33,9;30
2830;Mirzakanda Bridge;RCC Girder Bridge;A;4,4;17;2000;1;Dhaka;Dhaka;Munshiganj;Keraniganj;Z8005;LRP004a;LRP004;25;3,326;23;36;51,2;90;18;47;0
2831;Kawamara Bridge;RCC Girder Bridge;A;6,9;39,56;2013;3;Dhaka;Dhaka;Munshiganj;Keraniganj;Z8005;LRP004d;LRP004;516;3,817;23;36;35,6;90;18;46,9;0
2832;Kotgaon Bridge (East);Baily with Steel Deck;A;4,1;24,5;1998;1;Dhaka;Dhaka;Munshiganj;Keraniganj;Z8005;LRP008a;LRP006;2680;7,696;23;36;23;90;20;43,5;0
2833;Imamganj Bridge;Baily with Steel Deck;C;4,1;24,4;1992;1;Dhaka;Dhaka;Munshiganj;Keraniganj;Z8005;LRP009a;LRP006;3668;8,684;23;36;11,6;90;21;11,6;530
2834;Roushonia Bridge;Truss with Steel Deck;C;4,2;46;1992;1;Dhaka;Dhaka;Munshiganj;Keraniganj;Z8005;LRP011c;LRP011;306;10,306;23;35;33,2;90;21;34,1;32
2835;Roushonia Bridge-1;RCC Girder Bridge;C;4,85;27,85;1986;3;Dhaka;Dhaka;Munshiganj;Keraniganj;Z8005;LRP011e;LRP011;733;10,733;23;35;19,6;90;21;36;120
2836;Roushania Bazar Bridge;RCC Girder Bridge;C;4,9;28,5;1985;3;Dhaka;Dhaka;Munshiganj;Keraniganj;Z8005;LRP012a;LRP011;1164;11,164;23;35;5,9;90;21;38,8;63
2837;Kumpar Bridge;RCC Girder Bridge;B;7,2;25;1986;2;Dhaka;Dhaka;Munshiganj;Keraniganj;Z8005;LRP013b;LRP011;2029;12,029;23;34;52,7;90;22;3;1
2838;Sirajdikhan Bridge;Baily with Steel Deck;B;5,4;27,5;1986;1;Dhaka;Dhaka;Munshiganj;Keraniganj;Z8005;LRP013d;LRP011;2722;12,722;23;34;47,5;90;22;25,9;1
2839;Choto morh Bridge;RCC Girder Bridge;C;6,55;8,32;1993;1;Gopalganj;Gopalganj;Madaripur;Bhanga;Z8011;LRP002a;LRP001;1904;2,921;23;22;47,8;90;9;34,8;60
2840;Talukdar Bridge;RCC Girder Bridge;A;7,6;33,2;2000;3;Gopalganj;Gopalganj;Madaripur;Bhanga;Z8011;LRP007c;LRP007;551;7,543;23;20;48,2;90;10;20,9;0
2841;Nodir Par Bridge;Truss with Steel Deck;A;3,9;15,2;1991;1;Gopalganj;Gopalganj;Madaripur;Bhanga;Z8011;LRP008a;LRP008;95;8,056;23;20;32,3;90;10;27;0
2842;Char Gazaria Bridge;RCC Girder Bridge;C;4,4;31,8;1997;3;Gopalganj;Gopalganj;Madaripur;Madaripur;Z8011;LRP012a;LRP012;268;12,163;23;18;55;90;9;42,6;60
2843;Shekhpur Bridge;PC Girder Bridge;A;9,5;162,6;2009;5;Gopalganj;Gopalganj;Madaripur;Madaripur;Z8011;LRP016a;LRP015;1100;16,12;23;16;53,8;90;9;57,6;0
2844;Purbo Chillar char Bridge;RCC Girder Bridge;B;6,7;11;1997;1;Gopalganj;Gopalganj;Madaripur;Madaripur;Z8011;LRP026a;LRP025;1289;26,289;23;14;44,3;90;13;53,3;30
2845;Ushar morh Bridge;RCC Girder Bridge;A;6,7;6,9;1966;1;Gopalganj;Gopalganj;Madaripur;Madaripur;Z8011;LRP027b;LRP025;2421;27,421;23;14;8,7;90;13;48,6;0
2846;Kulshar morh Bridge;RCC Girder Bridge;C;6,7;8,2;1992;1;Gopalganj;Gopalganj;Madaripur;Madaripur;Z8011;LRP027c;LRP025;2558;27,558;23;14;5,1;90;13;49,4;60
2847;Kalitola Boro Bridge;RCC Girder Bridge;C;6,8;44,5;1991;3;Gopalganj;Gopalganj;Madaripur;Madaripur;Z8011;LRP028a;LRP025;3778;28,778;23;13;27,4;90;13;48,2;30
2848;Angur kata 7 no.Bridge;RCC Girder Bridge;C;6,9;20,9;1996;1;Gopalganj;Gopalganj;Madaripur;Madaripur;Z8011;LRP030a;LRP030;604;30,604;23;12;49,6;90;14;25,5;560
